Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Cellier des Chartreux CAB Grand Prébos Cabernet Sauvignon 2022,CAB Grand Prébos Cabernet Sauvignon,Gard,France,Cellier des Chartreux,Languedoc-Roussillon,Red,2022,4,6.88,EUR,Bottle (0.75l)
Vinovalie La Belle Équipe 4 Cépages Originels 2022,La Belle Équipe 4 Cépages Originels,Vin de France,France,Vinovalie,French,Red,2022,4.1,6.95,EUR,Bottle (0.75l)
Vinovalie Sang Mêlé 2022,Sang Mêlé,South West France,France,Vinovalie,Southwest France,Red,2022,4.1,7.35,EUR,Bottle (0.75l)
Château de Sauvage Cuvée Charlet Graves 2020,Cuvée Charlet Graves,Graves,France,Château de Sauvage,Bordeaux Left Bank,Graves Red,2020,4,7.65,EUR,Bottle (0.75l)
Domodo Rosso Amabile,Rosso Amabile,Vino d'Italia,Italy,Domodo,Italian,Red,N.V.,4,7.95,EUR,Bottle (0.75l)
Haltinger Winzer Pinot Noir Blanc de Noirs 2022,Pinot Noir Blanc de Noirs,Baden,Germany,Haltinger Winzer,German,Spätburgunder,2022,4.1,7.95,EUR,Bottle (0.75l)
Château de Sauvage Cuvée Charlet Graves 2018,Cuvée Charlet Graves,Graves,France,Château de Sauvage,Bordeaux Left Bank,Graves Red,2018,4,8,EUR,Bottle (0.75l)
Cantine Leonardo da Vinci Rocca di Cesena 2020,Rocca di Cesena,Sangiovese di Romagna,Italy,Cantine Leonardo da Vinci,Northern Italy,Red,2020,4,8.39,EUR,Bottle (0.75l)
Félix Solís Kingpin,Kingpin,Vino de España,Spain,Félix Solís,Spanish,Red,N.V.,4,8.45,EUR,Bottle (0.75l)
Félix Solís Mucho Más Tinto - Black Edition,Mucho Más Tinto - Black Edition,Vino de España,Spain,Félix Solís,Spanish,Red,N.V.,4.1,8.5,EUR,Bottle (0.75l)
PavoNero Rosso,Rosso,Puglia,Italy,PavoNero,Southern Italy,Red,N.V.,4,8.8,EUR,Bottle (0.75l)
Domaine de Carmignan Côtes-du-Rhône Rouge 2018,Côtes-du-Rhône Rouge,Côtes-du-Rhône,France,Domaine de Carmignan,Southern Rhône,Red,2018,4,8.8,EUR,Bottle (0.75l)
Graça 28 Reserva 2022,Reserva,Douro,Portugal,Graça 28,Portuguese,Douro Red,2022,4.1,8.9,EUR,Bottle (0.75l)
Domaine Sibille Le Sibilou 2022,Le Sibilou,Vin de France,France,Domaine Sibille,French,Red,2022,4,8.9,EUR,Bottle (0.75l)
Bastioni della Rocca Appassimento 2023,Appassimento,Puglia,Italy,Bastioni della Rocca,Southern Italy,Red,2023,4,8.95,EUR,Bottle (0.75l)
Geografico Bosco del Grillo Governo 2023,Bosco del Grillo Governo,Toscana,Italy,Geografico,Tuscan,Red,2023,4,8.95,EUR,Bottle (0.75l)
Mocavero Salice Salentino 2020,Salice Salentino,Salice Salentino,Italy,Mocavero,Southern Italy,Red,2020,4,8.95,EUR,Bottle (0.75l)
Vigneti del Salento Negroamaro I Muri 2022,Negroamaro I Muri,Puglia,Italy,Vigneti del Salento,Southern Italy,Red,2022,4,8.95,EUR,Bottle (0.75l)
Citizen Wine Levántalos 2023,Levántalos,Vino de España,Spain,Citizen Wine,Spanish,Red,2023,4.1,8.95,EUR,Bottle (0.75l)
Serre Romani Vieille Fripouille Carignan 2023,Vieille Fripouille Carignan,Côtes Catalanes,France,Serre Romani,Languedoc-Roussillon,Red,2023,4,9,EUR,Bottle (0.75l)
Les Vignerons de Tutiac L'Ironda Blaye - Côtes de Bordeaux Rouge 2022,L'Ironda Blaye - Côtes de Bordeaux Rouge,Blaye - Côtes de Bordeaux,France,Les Vignerons de Tutiac,Bordeaux,Red,2022,4,9,EUR,Bottle (0.75l)
Dezzani Appassimento Rosso Passito 2022,Appassimento Rosso Passito,Piemonte,Italy,Dezzani,Northern Italy,Red,2022,4,9.12,EUR,Bottle (0.75l)
Dezzani Appassimento Rosso Passito 2020,Appassimento Rosso Passito,Piemonte,Italy,Dezzani,Northern Italy,Red,2020,4.1,9.12,EUR,Bottle (0.75l)
Château Brondeau du Tertre Bordeaux Supérieur 2020,Bordeaux Supérieur,Bordeaux Supérieur,France,Château Brondeau du Tertre,Bordeaux,Red,2020,4.1,9.25,EUR,Bottle (0.75l)
Chateau Amanieu d'Albret Quidam Bordeaux Superieur 2018,Quidam Bordeaux Superieur,Bordeaux Supérieur,France,Chateau Amanieu d'Albret,Bordeaux,Red,2018,4.2,9.25,EUR,Bottle (0.75l)
Tenute Fiorebelli Fiorebella Appassimento Rosso del Veneto 2023,Fiorebella Appassimento Rosso del Veneto,Veneto,Italy,Tenute Fiorebelli,Northern Italy,Red,2023,4,9.34,EUR,Bottle (0.75l)
Chateau Contier Bordeaux 2022,Bordeaux,Bordeaux,France,Chateau Contier,Bordeaux,Red,2022,4.1,9.4,EUR,Bottle (0.75l)
Le Chiantigiane Loggia del Sole Governo All'Uso Toscana 2022,Loggia del Sole Governo All'Uso Toscana,Toscana,Italy,Le Chiantigiane,Tuscan,Red,2022,4.1,9.44,EUR,Bottle (0.75l)
Château du Bergey Cuvée Tradition Fronsac 2022,Cuvée Tradition Fronsac,Fronsac,France,Château du Bergey,Bordeaux Right Bank,Libournais Red,2022,4,9.5,EUR,Bottle (0.75l)
Bodegas Piqueras El Abuelo de Piqueras Reserva 2020,El Abuelo de Piqueras Reserva,Almansa,Spain,Bodegas Piqueras,Spanish,Red,2020,4,9.5,EUR,Bottle (0.75l)
Domaine des Prés-Lasses Amourette Boris Feigel 2020,Amourette Boris Feigel,Languedoc-Roussillon,France,Domaine des Prés-Lasses,Languedoc-Roussillon,Red,2020,4.1,9.5,EUR,Bottle (0.75l)
Les Vignerons de Maury Les Maurynates Carignan 2023,Les Maurynates Carignan,Côtes Catalanes,France,Les Vignerons de Maury,Languedoc-Roussillon,Red,2023,4,9.6,EUR,Bottle (0.75l)
Les Vignerons de Maury Maurynates Grenache Noir 2023,Maurynates Grenache Noir,Côtes Catalanes,France,Les Vignerons de Maury,Languedoc-Roussillon,Grenache,2023,4.1,9.6,EUR,Bottle (0.75l)
Le Preare Appassimento Rosso 2021,Appassimento Rosso,Veneto,Italy,Le Preare,Northern Italy,Red,2021,4.1,9.64,EUR,Bottle (0.75l)
Atalaya Laya 2023,Laya,Almansa,Spain,Atalaya,Spanish,Red,2023,4,9.75,EUR,Bottle (0.75l)
Tenuta La Falcona Cavrine 2020,Cavrine,Veneto,Italy,Tenuta La Falcona,Northern Italy,Red,2020,4,9.86,EUR,Bottle (0.75l)
Miliasso Appassimento 2022,Appassimento,Piemonte,Italy,Miliasso,Northern Italy,Red,2022,4.1,9.88,EUR,Bottle (0.75l)
Galasso Lampasso Rosso Appassimento 2021,Lampasso Rosso Appassimento,Abruzzo,Italy,Galasso,Central Italy,Red,2021,4,9.88,EUR,Bottle (0.75l)
Vigneti del Vulture Pipoli Aglianico del Vulture 2021,Pipoli Aglianico del Vulture,Aglianico del Vulture,Italy,Vigneti del Vulture,Southern Italy,Red,2021,4,9.89,EUR,Bottle (0.75l)
Les Vignerons de Tutiac Tout Anqui 2020,Tout Anqui,Blaye - Côtes de Bordeaux,France,Les Vignerons de Tutiac,Bordeaux,Red,2020,4.1,9.9,EUR,Bottle (0.75l)
Les Natives Domaine Desroche Côtes du Rhône 2019,Domaine Desroche Côtes du Rhône,Côtes-du-Rhône,France,Les Natives,Southern Rhône,Red,2019,4,9.9,EUR,Bottle (0.75l)
Aubert et Mathieu Palooza Rouge 2022,Palooza Rouge,Pays d'Oc,France,Aubert et Mathieu,Languedoc-Roussillon,Red,2022,4,9.9,EUR,Bottle (0.75l)
Château Thieuley Generation III Bordeaux Rouge 2019,Generation III Bordeaux Rouge,Bordeaux,France,Château Thieuley,Bordeaux,Red,2019,4,9.9,EUR,Bottle (0.75l)
Mas de Bagnols Le Secret du Hibon Rouge 2022,Le Secret du Hibon Rouge,Côtes du Vivarais,France,Mas de Bagnols,Southern Rhône,Red,2022,4,9.9,EUR,Bottle (0.75l)
Honoro Vera Garnacha 2023,Garnacha,Calatayud,Spain,Honoro Vera,Spanish,Grenache,2023,4.2,9.95,EUR,Bottle (0.75l)
Montebello Monbellezzio Cioccolata Appassimento 2023,Monbellezzio Cioccolata Appassimento,Puglia,Italy,Montebello,Southern Italy,Red,2023,4.1,9.95,EUR,Bottle (0.75l)
Tinazzi Ca' de' Rocchi Merlot Prato del Faggio 2023,Ca' de' Rocchi Merlot Prato del Faggio,Veneto,Italy,Tinazzi,Northern Italy,Red,2023,4.1,9.95,EUR,Bottle (0.75l)
Atalaya El Vigía de la Atalaya Organico 2023,El Vigía de la Atalaya Organico,Almansa,Spain,Atalaya,Spanish,Red,2023,4.1,9.95,EUR,Bottle (0.75l)
Warwick Three Cape Ladies Cape Blend 2017,Three Cape Ladies Cape Blend,Stellenbosch,South Africa,Warwick,South African,Pinotage Blend,2017,4,9.95,EUR,Bottle (0.75l)
